game_id,date,home_team,away_team,home_id,away_id,home_abbreviation,away_abbreviation,home_score,away_score,home_win,neutral_site,conference_competition,season
401168156,2019-11-05,Miami Hurricanes,Louisville Cardinals,2390,97,MIA,LOU,74,87,0,0,1,2020
401169796,2019-11-06,Florida Gators,North Florida Ospreys,57,2454,FLA,UNF,74,59,1,0,0,2020
401166020,2019-11-06,Maryland Terrapins,Holy Cross Crusaders,120,107,MD,HC,95,71,1,0,0,2020
401175199,2019-11-06,Gonzaga Bulldogs,Alabama State Hornets,2250,2011,GONZ,ALST,95,64,1,0,0,2020
401169778,2019-11-06,Villanova Wildcats,Army Black Knights,222,349,VILL,ARMY,97,54,1,0,0,2020
401168441,2019-11-05,Seton Hall Pirates,Wagner Seahawks,2550,2681,HALL,WAG,105,71,1,0,0,2020
401169597,2019-11-06,Texas Tech Red Raiders,Eastern Illinois Panthers,2641,2197,TTU,EIU,85,60,1,0,0,2020
401170001,2019-11-06,Memphis Tigers,South Carolina State Bulldogs,235,2569,MEM,SCST,97,64,1,0,0,2020
401170555,2019-11-06,Oregon Ducks,Fresno State Bulldogs,2483,278,ORE,FRES,71,57,1,0,0,2020
401169593,2019-11-05,Baylor Bears,Central Arkansas Bears,239,2110,BAY,CARK,105,61,1,0,0,2020
401166408,2019-11-06,Utah State Aggies,Montana State Bobcats,328,147,USU,MTST,81,73,1,0,0,2020
401169787,2019-11-06,Xavier Musketeers,Jacksonville Dolphins,2752,294,XAV,JAX,76,57,1,0,0,2020
401175202,2019-11-06,Wisconsin Badgers,Saint Mary's Gaels,275,2608,WIS,SMC,63,65,0,1,0,2020
401169797,2019-11-06,Auburn Tigers,Georgia Southern Eagles,2,290,AUB,GASO,83,74,1,0,0,2020
401170102,2019-11-06,VCU Rams,Saint Francis Red Flash,2670,2598,VCU,SFPA,72,58,1,0,0,2020
401176052,2019-11-05,Middle Tennessee Blue Raiders,Maryville College (TN) Fighting Scots,2393,2373,MTSU,MRYVILTN,119,61,1,0,0,2020
401172973,2019-11-05,Lamar Cardinals,Champion Christian Tigers,2320,3134,LAM,CHCC,86,40,1,0,0,2020
401170038,2019-11-05,Tulsa Golden Hurricane,Houston Christian Huskies,202,2277,TLSA,HCU,80,72,1,0,0,2020
401175752,2019-11-05,Howard Bison,Washington Adventist Shock,47,408,HOW,WASHADV,68,71,0,0,0,2020
401170093,2019-11-05,Duquesne Dukes,Princeton Tigers,2184,163,DUQ,PRIN,94,67,1,0,0,2020
401173059,2019-11-05,Northwestern State Demons,Centenary (LA) Gentlemen,2466,2113,NWST,CENTELA,84,57,1,0,0,2020
401180733,2019-11-06,UMBC Retrievers,Valley Forge Patriots,2378,110414,UMBC,UVF,134,46,1,0,0,2020
401176426,2019-11-06,Fairleigh Dickinson Knights,FDU Florham Devils,161,2221,FDU,FDUFLOR,101,52,1,0,0,2020
401176092,2019-11-06,Wofford Terriers,Erskine Flying Fleet,2747,2215,WOF,ERSK,86,63,1,0,0,2020
401175897,2019-11-06,Florida Atlantic Owls,Flagler Saints,2226,2228,FAU,FLAGL,92,81,1,0,0,2020
401175789,2019-11-06,UNC Greensboro Spartans,North Carolina A&T Aggies,2430,2448,UNCG,NCAT,83,50,1,0,0,2020
401175117,2019-11-06,Wright State Raiders,Central State (OH) Marauders,2750,2119,WRST,CSO,96,77,1,0,0,2020
401175115,2019-11-06,Oakland Golden Grizzlies,Goshen Maple Leafs,2473,3067,OAK,GOSHE,94,66,1,0,0,2020
401175114,2019-11-06,Northern Kentucky Norse,Cincinnati Clermont Cougars,94,108799,NKU,CNCL,105,55,1,0,0,2020
401175025,2019-11-06,Morehead State Eagles,Samford Bulldogs,2413,2535,MORE,SAM,90,86,1,0,0,2020
401174062,2019-11-06,Eastern Kentucky Colonels,Chattanooga Mocs,2198,236,EKU,UTC,79,68,1,0,0,2020
401173189,2019-11-06,Harvard Crimson,MIT Engineers,108,109,HARV,MIT,84,27,1,0,0,2020
401172737,2019-11-06,Central Michigan Chippewas,Michigan-Dearborn Wolves,2117,2391,CMU,MIDEAR,102,62,1,0,0,2020
401172555,2019-11-06,Ball State Cardinals,Defiance Yellow Jackets,2050,190,BALL,DFC,87,43,1,0,0,2020
401172554,2019-11-06,Bowling Green Falcons,Tiffin Dragons,189,2838,BGSU,TIF,94,73,1,0,0,2020
401172553,2019-11-06,Akron Zips,Malone Pioneers,2006,556,AKR,MALONE,81,64,1,0,0,2020
401172414,2019-11-06,Boston University Terriers,Northeastern Huskies,104,111,BU,NE,67,72,0,0,0,2020
401172385,2019-11-06,UNC Wilmington Seahawks,Johnson & Wales (NC) JOHNSON & WALES-CHARLOTTE,350,3169,UNCW,JWNC,103,83,1,0,0,2020
401172259,2019-11-06,Bryant Bulldogs,Brown Bears,2803,225,BRY,BRWN,71,73,0,0,0,2020
401172071,2019-11-06,Coppin State Eagles,Rider Broncs,2154,2520,COPP,RID,84,91,0,0,0,2020
