game_id,date,home_team,away_team,home_id,away_id,home_abbreviation,away_abbreviation,home_score,away_score,home_win,neutral_site,conference_competition,season
303120221,2010-11-09,Pittsburgh Panthers,Rhode Island Rams,221,227,PITT,URI,83,75,1,0,0,2011
303120356,2010-11-09,Illinois Fighting Illini,UC Irvine Anteaters,356,300,ILL,UCI,79,65,1,0,0,2011
303120120,2010-11-09,Maryland Terrapins,Seattle U Redhawks,120,2547,MD,SEA,105,76,1,0,0,2011
303120251,2010-11-09,Texas Longhorns,Navy Midshipmen,251,2426,TEX,NAVY,83,52,1,0,0,2011
303140221,2010-11-11,Pittsburgh Panthers,UIC Flames,221,82,PITT,UIC,97,54,1,0,0,2011
303140120,2010-11-11,Maryland Terrapins,Charleston Cougars,120,232,MD,COFC,75,74,1,0,0,2011
303140356,2010-11-11,Illinois Fighting Illini,Toledo Rockets,356,2649,ILL,TOL,84,45,1,0,0,2011
303140251,2010-11-11,Texas Longhorns,Louisiana Tech Bulldogs,251,2348,TEX,LT,89,58,1,0,0,2011
303160249,2010-11-12,North Texas Mean Green,Henderson State Reddies,249,2271,UNT,HENDERSON,92,66,1,0,0,2011
303162429,2010-11-12,Charlotte 49ers,Gardner-Webb Runnin' Bulldogs,2429,2241,CLT,GWEB,70,78,0,0,0,2011
303162501,2010-11-12,Portland Pilots,Milwaukee Panthers,2501,270,PORT,MILW,80,60,1,0,0,2011
303162309,2010-11-12,Kent State Golden Flashes,Iona Gaels,2309,314,KENT,IONA,73,72,1,1,0,2011
303162630,2010-11-12,UT Martin Skyhawks,MacMurray College Highlanders,2630,273,UTM,MAC,70,49,1,0,1,2011
303160193,2010-11-12,Miami (OH) RedHawks,Towson Tigers,193,119,M-OH,TOW,60,57,1,0,0,2011
303160292,2010-11-12,UT Rio Grande Valley Vaqueros,Indiana State Sycamores,292,282,RGV,INST,46,69,0,1,0,2011
303160084,2010-11-12,Indiana Hoosiers,Florida Gulf Coast Eagles,84,526,IU,FGCU,88,60,1,0,0,2011
303162752,2010-11-13,Xavier Musketeers,Western Michigan Broncos,2752,2711,XAV,WMU,68,65,1,0,0,2011
303162681,2010-11-13,Wagner Seahawks,Lafayette Leopards,2681,322,WAG,LAF,63,58,1,0,0,2011
303162678,2010-11-13,VMI Keydets,Randolph College Wildcats,2678,3153,VMI,RDPH,106,65,1,0,1,2011
303162428,2010-11-13,North Carolina Central Eagles,Johnson & Wales (CO) Wildcats,2428,3094,NCCU,JW,90,30,1,0,0,2011
303162413,2010-11-13,Morehead State Eagles,Asbury Eagles,2413,2036,MORE,ASBUR,90,49,1,0,1,2011
303162382,2010-11-13,Mercer Bears,Oglethorpe Stormy Petrels,2382,2476,MER,OGLET,67,44,1,0,0,2011
303162379,2010-11-13,Maryland Eastern Shore Hawks,Tulane Green Wave,2379,2655,UMES,TULN,62,91,0,0,0,2011
303162341,2010-11-13,Long Island University Sharks,Norfolk State Spartans,112358,2450,LIU,NORF,87,64,1,0,0,2011
303162335,2010-11-13,Liberty Flames,Virginia Intermont Cobras,2335,2671,LIB,VAINTER,82,65,1,0,1,2011
303162325,2010-11-13,La Salle Explorers,Columbia Lions,2325,171,LAS,COLU,82,71,1,0,0,2011
303162226,2010-11-13,UC Davis Aggies,Florida Atlantic Owls,302,2226,UCD,FAU,63,70,0,1,0,2011
303162116,2010-11-13,UCF Knights,West Florida Argonauts,2116,2697,UCF,WEST ,115,61,1,0,0,2011
303160349,2010-11-13,Army Black Knights,Vassar Brewers,349,185,ARMY,VASSA,66,49,1,0,0,2011
303160295,2010-11-13,Old Dominion Monarchs,Georgetown Hoyas,295,46,ODU,GTWN,59,62,0,0,0,2011
303160276,2010-11-13,Marshall Thundering Herd,WVU Tech Golden Bears,276,2706,MRSH,WVUT,92,69,1,0,0,2011
303160258,2010-11-13,Virginia Cavaliers,William & Mary Tribe,258,2729,UVA,W&M,76,52,1,0,0,2011
303160257,2010-11-13,Richmond Spiders,The Citadel Bulldogs,257,2643,RICH,CIT,79,37,1,0,0,2011
303160231,2010-11-13,Furman Paladins,North Greenville Crusaders,231,2822,FUR,NGU,72,54,1,0,0,2011
303160194,2010-11-13,Ohio State Buckeyes,North Carolina A&T Aggies,194,2448,OSU,NCAT,102,61,1,0,0,2011
303160183,2010-11-13,Syracuse Orange,Northern Iowa Panthers,183,2460,SYR,UNI,68,46,1,0,0,2011
303160163,2010-11-13,Princeton Tigers,Rutgers Scarlet Knights,163,164,PRIN,RUTG,78,73,1,0,0,2011
303160154,2010-11-13,Wake Forest Demon Deacons,Stetson Hatters,154,56,WAKE,STET,79,89,0,0,0,2011
303160153,2010-11-13,North Carolina Tar Heels,Lipscomb Bisons,153,288,UNC,LIP,80,66,1,0,0,2011
303160152,2010-11-13,NC State Wolfpack,Tennessee Tech Golden Eagles,152,2635,NCSU,TNTC,82,69,1,0,0,2011
303160111,2010-11-13,Northeastern Huskies,Boston University Terriers,111,104,NE,BU,66,64,1,0,0,2011
303160103,2010-11-13,Boston College Eagles,St. Francis Brooklyn Terriers,103,2597,BC,SFBK,79,49,1,0,0,2011
303160096,2010-11-13,Kentucky Wildcats,East Tennessee State Buccaneers,96,2193,UK,ETSU,88,65,1,0,0,2011
303160058,2010-11-13,South Florida Bulls,Southern Miss Golden Eagles,58,2572,USF,USM,53,60,0,0,0,2011
303160057,2010-11-13,Florida Gators,UNC Wilmington Seahawks,57,350,FLA,UNCW,77,60,1,0,0,2011
303160047,2010-11-13,Howard Bison,Bowling Green Falcons,47,189,HOW,BGSU,54,52,1,0,0,2011
303160041,2010-11-13,UConn Huskies,Stony Brook Seawolves,41,2619,CONN,STBK,79,52,1,0,0,2011
303162754,2010-11-13,Youngstown State Penguins,Samford Bulldogs,2754,2535,YSU,SAM,64,61,1,0,0,2011
303162670,2010-11-13,VCU Rams,UNC Greensboro Spartans,2670,2430,VCU,UNCG,101,86,1,0,0,2011
303162603,2010-11-13,Saint Joseph's Hawks,Western Kentucky Hilltoppers,2603,98,JOES,WKU,70,98,0,0,0,2011
303162540,2010-11-13,UC Santa Barbara Gauchos,Denver Pioneers,2540,2172,UCSB,DEN,65,49,1,1,0,2011
303162390,2010-11-13,Miami Hurricanes,Jacksonville Dolphins,2390,294,MIA,JAX,89,77,1,0,0,2011
303162006,2010-11-13,Akron Zips,Millikin Big Blue,2006,74,AKR,MIL,89,41,1,0,0,2011
303160399,2010-11-13,UAlbany Great Danes,Cornell Big Red,399,172,UALB,COR,61,65,0,0,0,2011
303160338,2010-11-13,Kennesaw State Owls,Georgia Southwestern Hurricanes,338,3068,KENN,GASW,82,62,1,0,0,2011
303160325,2010-11-13,Cleveland State Vikings,Bryant Bulldogs,325,2803,CLE,BRY,71,57,1,0,0,2011
303160324,2010-11-13,Coastal Carolina Chanticleers,Piedmont Lions,324,2496,CCU,PIEDM,112,52,1,0,1,2011
303160259,2010-11-13,Virginia Tech Hokies,Campbell Fighting Camels,259,2097,VT,CAM,70,60,1,0,0,2011
303160218,2010-11-13,Temple Owls,Seton Hall Pirates,218,2550,TEM,HALL,62,56,1,0,0,2011
303160213,2010-11-13,Penn State Nittany Lions,Lehigh Mountain Hawks,213,2329,PSU,LEH,70,56,1,0,0,2011
303160151,2010-11-13,East Carolina Pirates,Erskine Flying Fleet,151,2215,ECU,ERSK,74,46,1,0,0,2011
303160113,2010-11-13,Massachusetts Minutemen,Rider Broncs,113,2520,MASS,RID,77,67,1,0,0,2011
303160061,2010-11-13,Georgia Bulldogs,Mississippi Valley State Delta Devils,61,2400,UGA,MVSU,72,70,1,0,0,2011
303160059,2010-11-13,Georgia Tech Yellow Jackets,Charleston Southern Buccaneers,59,2127,GT,CHSO,52,39,1,0,0,2011
303160044,2010-11-13,American University Eagles,Saint Francis Red Flash,44,2598,AMER,SFPA,62,52,1,0,0,2011
303162710,2010-11-13,Western Illinois Leathernecks,St. Francis (IL) Fighting Saints,2710,2595,WIU,SFIL,83,47,1,0,0,2011
