game_id,date,home_team,away_team,home_id,away_id,home_abbreviation,away_abbreviation,home_score,away_score,home_win,neutral_site,conference_competition,season
401083627,2018-11-07,Gonzaga Bulldogs,Idaho State Bengals,2250,304,GONZ,IDST,120,79,1,0,0,2019
401082974,2018-11-07,Tennessee Volunteers,Lenoir-Rhyne Bears,2633,2331,TENN,LENRHYNE,86,41,1,0,0,2019
401083597,2018-11-07,Nevada Wolf Pack,BYU Cougars,2440,252,NEV,BYU,86,70,1,0,0,2019
401082853,2018-11-07,Wofford Terriers,North Carolina Tar Heels,2747,153,WOF,UNC,67,78,0,0,0,2019
401083350,2018-11-07,Villanova Wildcats,Morgan State Bears,222,2415,VILL,MORG,100,77,1,0,0,2019
401083163,2018-11-07,Auburn Tigers,South Alabama Jaguars,2,6,AUB,USA,101,58,1,0,0,2019
401086810,2018-11-07,Oregon Ducks,Portland State Vikings,2483,2502,ORE,PRST,84,57,1,0,0,2019
401082695,2018-11-07,Florida State Seminoles,Florida Gators,52,57,FSU,FLA,81,60,1,0,0,2019
401087147,2018-11-07,UCLA Bruins,Purdue Fort Wayne Mastodons,26,2870,UCLA,PFW,96,71,1,0,0,2019
401082642,2018-11-07,Clemson Tigers,The Citadel Bulldogs,228,2643,CLEM,CIT,100,80,1,0,0,2019
401083104,2018-11-07,LSU Tigers,SE Louisiana Lions,99,2545,LSU,SELA,94,63,1,0,0,2019
401082580,2018-11-07,Purdue Boilermakers,Fairfield Stags,2509,2217,PUR,FAIR,90,57,1,0,0,2019
401089873,2018-11-06,Green Bay Phoenix,Wisconsin-Lutheran Warriors,2739,2741,GB,WLC,110,54,1,0,0,2019
401089358,2018-11-06,Buffalo Bulls,Saint Francis Red Flash,2084,2598,BUF,SFPA,82,67,1,0,0,2019
401089177,2018-11-06,Eastern Michigan Eagles,Rochester University (MI) Warriors,2199,2947,EMU,RCU,77,67,1,0,0,2019
401090140,2018-11-06,Morehead State Eagles,Kentucky Christian Knights,2413,3077,MORE,KCU,102,82,1,0,0,2019
401084639,2018-11-06,UCF Knights,Rider Broncs,2116,2520,UCF,RID,84,70,1,0,0,2019
401083337,2018-11-06,St. John's Red Storm,Loyola Maryland Greyhounds,2599,2352,SJU,L-MD,76,55,1,0,0,2019
401083326,2018-11-06,Seton Hall Pirates,Wagner Seahawks,2550,2681,HALL,WAG,89,49,1,0,0,2019
