game_id,date,home_team,away_team,home_id,away_id,home_abbreviation,away_abbreviation,home_score,away_score,home_win,neutral_site,conference_competition,season
400591790,2014-11-15,Arizona Wildcats,Mount St. Mary's Mountaineers,12,116,ARIZ,MSM,78,55,1,0,0,2015
400588633,2014-11-15,Wisconsin Badgers,Northern Kentucky Norse,275,94,WIS,NKU,62,31,1,0,0,2015
400585668,2014-11-15,Kansas Jayhawks,UC Santa Barbara Gauchos,2305,2540,KU,UCSB,69,59,1,0,0,2015
400587755,2014-11-15,North Carolina Tar Heels,North Carolina Central Eagles,153,2428,UNC,NCCU,76,60,1,0,0,2015
400587753,2014-11-15,James Madison Dukes,Virginia Cavaliers,256,258,JMU,UVA,51,79,0,0,0,2015
400586295,2014-11-15,Wichita State Shockers,New Mexico State Aggies,2724,166,WICH,NMSU,71,54,1,0,0,2015
400587025,2014-11-15,Villanova Wildcats,Lehigh Mountain Hawks,222,2329,VILL,LEH,77,66,1,1,0,2015
400585873,2014-11-15,Gonzaga Bulldogs,Sacramento State Hornets,2250,16,GONZ,SAC,104,58,1,0,0,2015
400586485,2014-11-15,UConn Huskies,Bryant Bulldogs,41,2803,CONN,BRY,66,53,1,0,0,2015
400595357,2014-11-15,Ohio State Buckeyes,UMass Lowell River Hawks,194,2349,OSU,UML,92,55,1,0,0,2015
400586484,2014-11-15,SMU Mustangs,Lamar Cardinals,2567,2320,SMU,LAM,93,54,1,0,0,2015
400591290,2014-11-15,Harvard Crimson,MIT Engineers,108,109,HARV,MIT,73,52,1,0,0,2015
400587388,2014-11-15,Utah Utes,Ball State Cardinals,254,2050,UTAH,BALL,90,72,1,0,0,2015
400585875,2014-11-14,Eastern Washington Eagles,Texas Southern Tigers,331,2640,EWU,TXSO,86,62,1,0,0,2015
400595560,2014-11-14,Sam Houston Bearkats,Austin 'Roos,2534,2045,SHSU,AUS,100,52,1,0,0,2015
400587365,2014-11-14,Eastern Michigan Eagles,St. Francis (IL) Fighting Saints,2199,2595,EMU,SFIL,64,52,1,0,0,2015
