game_id,date,home_team,away_team,home_id,away_id,home_abbreviation,away_abbreviation,home_score,away_score,home_win,neutral_site,conference_competition,season
400918290,2016-11-11,Villanova Wildcats,Lafayette Leopards,222,322,VILL,LAF,88,48,1,0,0,2017
400918291,2016-11-12,Xavier Musketeers,Lehigh Mountain Hawks,2752,2329,XAV,LEH,84,81,1,0,0,2017
400915217,2016-11-12,UNC Greensboro Spartans,Virginia Cavaliers,2430,258,UNCG,UVA,51,76,0,0,0,2017
400915215,2016-11-12,Louisville Cardinals,Evansville Purple Aces,97,339,LOU,EVAN,78,47,1,0,0,2017
400915705,2016-11-12,Gonzaga Bulldogs,Utah Valley Wolverines,2250,3084,GONZ,UVU,92,69,1,0,0,2017
400915182,2016-11-12,Purdue Boilermakers,McNeese Cowboys,2509,2377,PUR,MCN,109,65,1,0,0,2017
400915485,2016-11-12,UCLA Bruins,Pacific Tigers,26,279,UCLA,PAC,119,80,1,0,0,2017
400915704,2016-11-12,Saint Mary's Gaels,Nevada Wolf Pack,2608,2440,SMC,NEV,81,63,1,0,0,2017
400916467,2016-11-12,UConn Huskies,Wagner Seahawks,41,2681,CONN,WAG,58,67,0,0,0,2017
400915212,2016-11-12,Syracuse Orange,Colgate Raiders,183,2142,SYR,COLG,83,55,1,0,0,2017
400916117,2016-11-12,West Virginia Mountaineers,Mount St. Mary's Mountaineers,277,116,WVU,MSM,87,59,1,0,0,2017
400917464,2016-11-12,Creighton Bluejays,Kansas City Roos,156,140,CREI,KC,89,82,1,0,0,2017
400918430,2016-11-12,Rhode Island Rams,Dartmouth Big Green,227,159,URI,DART,84,61,1,0,0,2017
400916122,2016-11-12,Iowa State Cyclones,Savannah State Tigers,66,2542,ISU,SAV,113,71,1,0,0,2017
400915018,2016-11-12,Maryland Terrapins,American University Eagles,120,44,MD,AMER,62,56,1,0,0,2017
400919442,2016-11-11,Middle Tennessee Blue Raiders,Milligan Buffaloes,2393,2397,MTSU,MILLI,102,64,1,0,0,2017
400924181,2016-11-11,Lipscomb Bisons,Sewanee Tigers,288,2553,LIP,SEWA,96,53,1,0,0,2017
400921254,2016-11-11,Miami (OH) RedHawks,Muskingum Fighting Muskies,193,332,M-OH,MUS,84,57,1,0,0,2017
400918718,2016-11-11,New Hampshire Wildcats,Lesley University Lynx,160,477,UNH,LZX,85,60,1,0,0,2017
400922381,2016-11-11,Jackson State Tigers,Xavier (LA) Gold Nuggets,2296,2753,JKST,XAVL,66,54,1,0,0,2017
400918747,2016-11-11,UMBC Retrievers,Hood College Blazers,2378,108854,UMBC,HOOD,92,61,1,0,0,2017
400916269,2016-11-11,North Dakota Fighting Hawks,Crown College Polars,155,509,UND,CRWN,98,48,1,0,0,2017
400915894,2016-11-11,UL Monroe Warhawks,Centenary (LA) Gentlemen,2433,2113,ULM,CENTELA,96,63,1,0,0,2017
400916268,2016-11-11,Eastern Washington Eagles,Linfield College Wildcats,331,203,EWU,LIN,70,47,1,0,0,2017
400918414,2016-11-11,Massachusetts Minutemen,UMass Lowell River Hawks,113,2349,MASS,UML,90,76,1,0,0,2017
400920529,2016-11-11,North Carolina A&T Aggies,Greensboro College Pride,2448,2256,NCAT,GRNB,67,50,1,0,0,2017
400910818,2016-11-11,Marquette Golden Eagles,Vanderbilt Commodores,269,238,MARQ,VAN,95,71,1,1,0,2017
400910775,2016-11-11,South Carolina Gamecocks,Louisiana Tech Bulldogs,2579,2348,SC,LT,85,76,1,0,0,2017
400924187,2016-11-12,Northern Kentucky Norse,Earlham College Quakers,94,2189,NKU,EARL,96,56,1,0,0,2017
400919799,2016-11-12,Air Force Falcons,McPherson Mcpherson,2005,562,AF,MCPHE,88,71,1,0,0,2017
400919632,2016-11-12,Hofstra Pride,Coppin State Eagles,2275,2154,HOF,COPP,74,72,1,0,0,2017
400919581,2016-11-12,Delaware Blue Hens,Goldey-Beacom Lightning,48,108859,DEL,GOL,64,56,1,0,0,2017
400919470,2016-11-12,Old Dominion Monarchs,James Madison Dukes,295,256,ODU,JMU,62,55,1,0,0,2017
400919385,2016-11-12,Florida International Panthers,Florida Memorial FLORIDA MEMORIAL,2229,2227,FIU,FMU,76,57,1,0,0,2017
400919134,2016-11-12,Seton Hall Pirates,Fairleigh Dickinson Knights,2550,161,HALL,FDU,91,70,1,0,0,2017
400919133,2016-11-12,Long Island University Sharks,John Jay College Bloodhounds,112358,212,LIU,JJC,78,40,1,0,0,2017
400919132,2016-11-12,Robert Morris Colonials,Pennsylvania Quakers,2523,219,RMU,PENN,50,67,0,0,0,2017
400918734,2016-11-12,Stony Brook Seawolves,Columbia Lions,2619,171,STBK,COLU,66,73,0,0,0,2017
400918658,2016-11-12,Central Connecticut Blue Devils,Hartford Hawks,2115,42,CCSU,HART,75,60,1,0,0,2017
400918498,2016-11-12,Detroit Mercy Titans,Adrian Bulldogs,2174,2003,DETM,ADR,99,69,1,0,0,2017
