game_id,date,home_team,away_team,home_id,away_id,home_abbreviation,away_abbreviation,home_score,away_score,home_win,neutral_site,conference_competition,season
313112599,2011-11-08,St. John's Red Storm,William & Mary Tribe,2599,2729,SJU,W&M,74,59,1,0,0,2012
313110344,2011-11-08,Mississippi State Bulldogs,Eastern Kentucky Colonels,344,2198,MSST,EKU,76,66,1,0,0,2012
313110012,2011-11-08,Arizona Wildcats,Valparaiso Beacons,12,2674,ARIZ,VAL,73,64,1,0,0,2012
313132599,2011-11-10,St. John's Red Storm,Lehigh Mountain Hawks,2599,2329,SJU,LEH,78,73,1,0,0,2012
313130344,2011-11-10,Mississippi State Bulldogs,Akron Zips,344,2006,MSST,AKR,58,68,0,0,0,2012
313130245,2011-11-10,Texas A&M Aggies,Liberty Flames,245,2335,TA&M,LIB,81,59,1,0,0,2012
313130012,2011-11-10,Arizona Wildcats,Duquesne Dukes,12,2184,ARIZ,DUQ,67,59,1,0,0,2012
313150096,2011-11-12,Kentucky Wildcats,Marist Red Foxes,96,2368,UK,MRST,108,58,1,0,0,2012
313150194,2011-11-12,Ohio State Buckeyes,Wright State Raiders,194,2750,OSU,WRST,73,42,1,0,0,2012
313150041,2011-11-12,UConn Huskies,Columbia Lions,41,171,CONN,COLU,70,57,1,0,0,2012
313150238,2011-11-12,Vanderbilt Commodores,Oregon Ducks,238,2483,VAN,ORE,78,64,1,0,0,2012
313150057,2011-11-12,Florida Gators,Jackson State Tigers,57,2296,FLA,JKST,99,59,1,0,0,2012
313150097,2011-11-12,Louisville Cardinals,UT Martin Skyhawks,97,2630,LOU,UTM,83,48,1,0,0,2012
313150221,2011-11-12,Pittsburgh Panthers,UAlbany Great Danes,221,399,PITT,UALB,89,56,1,0,0,2012
313150239,2011-11-12,Baylor Bears,Texas Southern Tigers,239,2640,BAY,TXSO,77,57,1,0,0,2012
313152752,2011-11-12,Xavier Musketeers,Morgan State Bears,2752,2415,XAV,MORG,74,63,1,0,0,2012
313150026,2011-11-12,UCLA Bruins,Loyola Marymount Lions,26,2351,UCLA,LMU,58,69,0,0,0,2012
313150130,2011-11-12,Michigan Wolverines,Ferris State Bulldogs,130,2222,MICH,FRST,59,33,1,0,0,2012
313150333,2011-11-12,Alabama Crimson Tide,North Florida Ospreys,333,2454,ALA,UNF,64,44,1,0,0,2012
313150269,2011-11-12,Marquette Golden Eagles,Mount St. Mary's Mountaineers,269,116,MARQ,MSM,91,37,1,0,0,2012
313152250,2011-11-12,Gonzaga Bulldogs,Eastern Washington Eagles,2250,331,GONZ,EWU,77,69,1,0,0,2012
313150025,2011-11-12,California Golden Bears,UC Irvine Anteaters,25,300,CAL,UCI,77,56,1,0,0,2012
313150142,2011-11-12,Missouri Tigers,Southeast Missouri State Redhawks,142,2546,MIZ,SEMO,83,68,1,0,0,2012
313150167,2011-11-11,New Mexico Lobos,New Orleans Privateers,167,2443,UNM,UNO,92,40,1,0,0,2012
313150140,2011-11-11,Kansas City Roos,Northwest Missouri St Bearcats,140,138,KC,NWMS,62,66,0,0,0,2012
313152529,2011-11-11,Sacred Heart Pioneers,Hartford Hawks,2529,42,SHU,HART,0,0,0,1,0,2012
313150009,2011-11-11,Arizona State Sun Devils,Montana State Bobcats,9,147,ASU,MTST,78,72,1,0,0,2012
313150282,2011-11-11,Indiana State Sycamores,Eastern Illinois Panthers,282,2197,INST,EIU,79,72,1,0,0,2012
313150225,2011-11-11,Brown Bears,Johnson & Wales (CO) Wildcats,225,3094,BRWN,JW,86,66,1,0,0,2012
313150104,2011-11-11,Boston University Terriers,Northeastern Huskies,104,111,BU,NE,74,82,0,0,0,2012
313152514,2011-11-11,Quinnipiac Bobcats,Fairfield Stags,2514,2217,QUIN,FAIR,0,0,0,1,0,2012
313152506,2011-11-11,Presbyterian Blue Hose,Montreat Cavaliers,2506,2410,PRES,MNTT,103,73,1,0,1,2012
313153084,2011-11-11,Utah Valley Wolverines,Simpson University (CA) Red Hawks,3084,612,UVU,SUCA,80,53,1,0,1,2012
313152633,2011-11-12,Tennessee Volunteers,UNC Greensboro Spartans,2633,2430,TENN,UNCG,92,63,1,0,0,2012
313152579,2011-11-12,South Carolina Gamecocks,Western Carolina Catamounts,2579,2717,SC,WCU,75,50,1,0,0,2012
313152523,2011-11-12,Robert Morris Colonials,Rider Broncs,2523,2520,RMU,RID,83,57,1,0,0,2012
313152515,2011-11-12,Radford Highlanders,Delaware Blue Hens,2515,48,RAD,DEL,58,54,1,0,0,2012
313152509,2011-11-12,Purdue Boilermakers,Northern Illinois Huskies,2509,2459,PUR,NIU,96,34,1,0,0,2012
313152390,2011-11-12,Miami Hurricanes,Tennessee Tech Golden Eagles,2390,2635,MIA,TNTC,69,58,1,0,0,2012
313152344,2011-11-12,Longwood Lancers,Navy Midshipmen,2344,2426,LONG,NAVY,70,78,0,0,0,2012
313152335,2011-11-12,Liberty Flames,Randolph College Wildcats,2335,3153,LIB,RDPH,81,58,1,0,1,2012
313152325,2011-11-12,La Salle Explorers,Lafayette Leopards,2325,322,LAS,LAF,79,53,1,0,0,2012
313152275,2011-11-12,Hofstra Pride,Long Island University Sharks,2275,112358,HOF,LIU,89,71,1,0,0,2012
313152199,2011-11-12,Eastern Michigan Eagles,UIC Flames,2199,82,EMU,UIC,68,57,1,0,0,2012
313152174,2011-11-12,Detroit Mercy Titans,Lake Erie Storm,2174,437,DETM,LAKEERIE,95,57,1,0,0,2012
313152084,2011-11-12,Buffalo Bulls,Saint Peter's Peacocks,2084,2612,BUF,SPU,72,65,1,0,0,2012
313152026,2011-11-12,App State Mountaineers,Lees-McRae Bobcats,2026,2327,APP,LMCR,90,61,1,0,0,2012
313150324,2011-11-12,Coastal Carolina Chanticleers,Covenant Fighting Scots,324,2157,CCU,COVENANT,96,54,1,0,1,2012
313150222,2011-11-12,Villanova Wildcats,Monmouth Hawks,222,2405,VILL,MONM,106,70,1,0,0,2012
313150189,2011-11-12,Bowling Green Falcons,Howard Bison,189,47,BGSU,HOW,63,48,1,0,0,2012
313150179,2011-11-12,St. Bonaventure Bonnies,Cornell Big Red,179,172,SBU,COR,79,58,1,0,0,2012
313150160,2011-11-12,New Hampshire Wildcats,Suffolk Rams,160,383,UNH,SUFFOLK,85,64,1,0,0,2012
313150154,2011-11-12,Wake Forest Demon Deacons,Loyola Maryland Greyhounds,154,2352,WAKE,L-MD,75,63,1,0,0,2012
313150152,2011-11-12,NC State Wolfpack,UNC Asheville Bulldogs,152,2427,NCSU,UNCA,84,75,1,0,0,2012
313150151,2011-11-12,East Carolina Pirates,Milligan Buffaloes,151,2397,ECU,MILLI,101,45,1,0,0,2012
313150127,2011-11-12,Michigan State Spartans,North Carolina Tar Heels,127,153,MSU,UNC,55,67,0,1,0,2012
313150108,2011-11-12,Harvard Crimson,MIT Engineers,108,109,HARV,MIT,76,49,1,0,0,2012
313150085,2011-11-12,IU Indianapolis Jaguars,Anderson (IN) Ravens,85,2023,IUIN,ANIN,101,68,1,0,0,2012
313150084,2011-11-12,Indiana Hoosiers,Stony Brook Seawolves,84,2619,IU,STBK,96,66,1,0,0,2012
313150052,2011-11-12,Florida State Seminoles,Jacksonville Dolphins,52,294,FSU,JAX,79,67,1,0,0,2012
313150045,2011-11-12,George Washington Revolutionaries,Maryland Eastern Shore Hawks,45,2379,GW,UMES,64,48,1,0,0,2012
313150056,2011-11-12,Stetson Hatters,Bethune-Cookman Wildcats,56,2065,STET,BCU,65,60,1,0,0,2012
313152670,2011-11-12,VCU Rams,Saint Francis Red Flash,2670,2598,VCU,SFPA,63,57,1,0,0,2012
313152429,2011-11-12,Charlotte 49ers,North Carolina Central Eagles,2429,2428,CLT,NCCU,73,57,1,0,0,2012
313152378,2011-11-12,UMBC Retrievers,Pennsylvania Quakers,2378,219,UMBC,PENN,45,59,0,0,0,2012
313152244,2011-11-12,George Mason Patriots,Rhode Island Rams,2244,227,GMU,URI,92,90,1,0,0,2012
313152154,2011-11-12,Coppin State Eagles,Cheyney (PA) Wolves,2154,2129,COPP,CHEY,80,65,1,0,0,2012
313152097,2011-11-12,Campbell Fighting Camels,Houston Christian Huskies,2097,2277,CAM,HCU,82,68,1,0,1,2012
313150290,2011-11-12,Georgia Southern Eagles,Valparaiso Beacons,290,2674,GASO,VAL,81,90,0,0,0,2012
313150276,2011-11-12,Marshall Thundering Herd,Alabama State Hornets,276,2011,MRSH,ALST,67,49,1,0,0,2012
313150257,2011-11-12,Richmond Spiders,American University Eagles,257,44,RICH,AMER,66,56,1,0,0,2012
313150253,2011-11-12,Southern Utah Thunderbirds,UC Davis Aggies,253,302,SUU,UCD,0,0,0,1,0,2012
313150232,2011-11-12,Charleston Cougars,Holy Cross Crusaders,232,107,COFC,HC,78,69,1,0,0,2012
313150231,2011-11-12,Furman Paladins,Roanoke Maroons,231,2522,FUR,ROANO,75,49,1,0,0,2012
313150164,2011-11-12,Rutgers Scarlet Knights,Dartmouth Big Green,164,159,RUTG,DART,62,56,1,0,0,2012
313150145,2011-11-12,Ole Miss Rebels,UL Monroe Warhawks,145,2433,MISS,ULM,60,38,1,0,0,2012
400207381,2011-11-12,Yale Bulldogs,Central Connecticut Blue Devils,43,2115,YALE,CCSU,73,69,1,1,0,2012
313152739,2011-11-12,Green Bay Phoenix,University of Mary Marauders,2739,559,GB,MARY,94,55,1,0,0,2012
313152628,2011-11-12,TCU Horned Frogs,Florida Gulf Coast Eagles,2628,526,TCU,FGCU,73,72,1,0,0,2012
313152617,2011-11-12,Stephen F. Austin Lumberjacks,Centenary (LA) Gentlemen,2617,2113,SFA,CENTELA,84,43,1,0,1,2012
313152567,2011-11-12,SMU Mustangs,McMurry War Hawks,2567,241,SMU,MCM,78,49,1,0,0,2012
313152466,2011-11-12,Northwestern State Demons,LeTourneau Yellow Jackets,2466,2326,NWST,LETU,87,61,1,0,1,2012
313152393,2011-11-12,Middle Tennessee Blue Raiders,Austin Peay Governors,2393,2046,MTSU,APSU,80,71,1,0,0,2012
313152306,2011-11-12,Kansas State Wildcats,Charleston Southern Buccaneers,2306,2127,KSU,CHSO,72,67,1,0,0,2012
313152305,2011-11-12,Kansas Jayhawks,Towson Tigers,2305,119,KU,TOW,96,51,1,0,0,2012
313152294,2011-11-12,Iowa Hawkeyes,Chicago State Cougars,2294,2130,IOWA,CHST,96,53,1,0,0,2012
313152166,2011-11-12,Davidson Wildcats,Guilford Quakers,2166,2258,DAV,GUILFORD,111,64,1,0,0,2012
313150249,2011-11-12,North Texas Mean Green,St Gregory's Cavaliers,249,2949,UNT,SG,81,52,1,0,0,2012
313150228,2011-11-12,Clemson Tigers,Gardner-Webb Runnin' Bulldogs,228,2241,CLEM,GWEB,65,44,1,0,0,2012
313150202,2011-11-12,Tulsa Golden Hurricane,Little Rock Trojans,202,2031,TLSA,LR,65,49,1,0,0,2012
313150201,2011-11-12,Oklahoma Sooners,Idaho State Bengals,201,304,OU,IDST,78,74,1,0,0,2012
313150197,2011-11-12,Oklahoma State Cowboys,Texas A&M-Corpus Christi Islanders,197,357,OKST,AMCC,71,39,1,0,0,2012
313150158,2011-11-12,Nebraska Cornhuskers,South Dakota Coyotes,158,233,NEB,SDAK,65,48,1,0,0,2012
313150135,2011-11-12,Minnesota Golden Gophers,Bucknell Bison,135,2083,MINN,BUCK,70,58,1,0,0,2012
313150098,2011-11-12,Western Kentucky Hilltoppers,Saint Joseph's Hawks,98,2603,WKU,JOES,61,72,0,0,0,2012
313150061,2011-11-12,Georgia Bulldogs,Wofford Terriers,61,2747,UGA,WOF,62,49,1,0,0,2012
313150059,2011-11-12,Georgia Tech Yellow Jackets,Florida A&M Rattlers,59,50,GT,FAMU,92,59,1,0,0,2012
313150043,2011-11-12,Yale Bulldogs,Central Connecticut Blue Devils,43,2115,YALE,CCSU,73,69,1,1,0,2012
313150008,2011-11-12,Arkansas Razorbacks,South Carolina Upstate Spartans,8,2908,ARK,UPST,83,63,1,0,0,2012
313150002,2011-11-12,Auburn Tigers,McNeese Cowboys,2,2377,AUB,MCN,84,62,1,0,0,2012
313150156,2011-11-12,Creighton Bluejays,North Carolina A&T Aggies,156,2448,CREI,NCAT,97,65,1,0,0,2012
313150288,2011-11-12,Lipscomb Bisons,Fort Valley State Wildcats,288,2232,LIP,FVSU,96,53,1,0,0,2012
313152582,2011-11-12,Southern Jaguars,Dillard Blue Devils,2582,2176,SOU,DLRD,67,48,1,0,0,2012
313152320,2011-11-12,Lamar Cardinals,Arkansas State Red Wolves,2320,2032,LAM,ARST,65,62,1,0,0,2012
313150326,2011-11-12,Texas State Bobcats,Texas Lutheran Bulldogs,326,2639,TXST,TL,101,60,1,0,1,2012
313150139,2011-11-12,Saint Louis Billikens,Tennessee State Tigers,139,2634,SLU,TNST,71,37,1,0,0,2012
313150093,2011-11-12,Murray State Racers,Harris-Stowe State Hornets,93,534,MUR,HSSU,76,49,1,0,1,2012
313152655,2011-11-12,Tulane Green Wave,Alabama A&M Bulldogs,2655,2010,TULN,AAMU,72,63,1,0,0,2012
313152539,2011-11-12,San Francisco Dons,North Dakota State Bison,2539,2449,SF,NDSU,0,0,0,0,0,2012
313150356,2011-11-12,Illinois Fighting Illini,Loyola Chicago Ramblers,356,2350,ILL,LUC,67,49,1,0,0,2012
313150305,2011-11-12,DePaul Blue Demons,UT Rio Grande Valley Vaqueros,305,292,DEP,RGV,91,72,1,0,0,2012
313150277,2011-11-12,West Virginia Mountaineers,Oral Roberts Golden Eagles,277,198,WVU,ORU,78,71,1,0,0,2012
313150150,2011-11-12,Duke Blue Devils,Belmont Bruins,150,2057,DUKE,BEL,77,74,1,0,0,2012
313150113,2011-11-12,Massachusetts Minutemen,Elon Phoenix,113,2210,MASS,ELON,85,67,1,0,0,2012
313150055,2011-11-12,Jacksonville State Gamecocks,Miles Golden Bears,55,2396,JXST,MIL,87,64,1,0,1,2012
313150036,2011-11-12,Colorado State Rams,Montana Grizzlies,36,149,CSU,MONT,64,58,1,0,0,2012
313152638,2011-11-12,UTEP Miners,UTSA Roadrunners,2638,2636,UTEP,UTSA,64,73,0,0,0,2012
313150328,2011-11-12,Utah State Aggies,BYU Cougars,328,252,USU,BYU,69,62,1,0,0,2012
313152641,2011-11-12,Texas Tech Red Raiders,Troy Trojans,2641,2653,TTU,TROY,90,85,1,0,0,2012
313152569,2011-11-12,South Carolina State Bulldogs,Claflin Panthers,2569,2133,SCST,UNCF,70,53,1,0,0,2012
313152172,2011-11-12,Denver Pioneers,Portland State Vikings,2172,2502,DEN,PRST,69,61,1,0,0,2012
