game_id,date,season,market_home_prob,neutral
283272641.0,2008-11-22,2009,0.9444,0
283270315.0,2008-11-22,2009,0.7147,0
283272247.0,2008-11-22,2009,0.8898,0
283280164.0,2008-11-23,2009,0.749,0
283280282.0,2008-11-23,2009,0.5882,0
283280009.0,2008-11-23,2009,0.976,0
283282550.0,2008-11-23,2009,0.3419,1
283282413.0,2008-11-23,2009,0.8134,1
283280097.0,2008-11-23,2009,0.9656,0
283280150.0,2008-11-23,2009,0.986,0
283282184.0,2008-11-23,2009,0.9312,0
283282368.0,2008-11-23,2009,0.3493,0
283290172.0,2008-11-24,2009,0.4675,1
283290256.0,2008-11-24,2009,0.5526,1
283302649.0,2008-11-25,2009,0.3159,1
283300172.0,2008-11-25,2009,0.6841,1
283310071.0,2008-11-26,2009,0.4118,1
283330150.0,2008-11-28,2009,0.9623,0
283332885.0,2008-11-28,2009,0.0946,1
283330154.0,2008-11-28,2009,0.7635,1
283332168.0,2008-11-28,2009,0.5711,1
283332717.0,2008-11-28,2009,0.6115,1
283340276.0,2008-11-29,2009,0.6239,0
283342550.0,2008-11-29,2009,0.863,0
283340225.0,2008-11-29,2009,0.6279,0
283342174.0,2008-11-29,2009,0.4474,0
283342050.0,2008-11-29,2009,0.6935,0
283342086.0,2008-11-29,2009,0.7986,0
283340305.0,2008-11-29,2009,0.8721,0
283342244.0,2008-11-29,2009,0.7328,0
283342084.0,2008-11-29,2009,0.3493,0
283342539.0,2008-11-29,2009,0.562,0
283342751.0,2008-11-29,2009,0.8465,0
283340315.0,2008-11-29,2009,0.8898,0
283340001.0,2008-11-29,2009,0.302,0
283340290.0,2008-11-29,2009,0.6429,0
283342635.0,2008-11-29,2009,0.7147,0
283352230.0,2008-11-30,2009,0.4783,0
283350097.0,2008-11-30,2009,0.0607,0
283350084.0,2008-11-30,2009,0.4037,0
283350278.0,2008-11-30,2009,0.7195,0
283350127.0,2008-11-30,2009,0.8982,1
283350149.0,2008-11-30,2009,0.5325,0
283402579.0,2008-12-05,2009,0.9683,0
283410256.0,2008-12-06,2009,0.4289,0
283410084.0,2008-12-06,2009,0.0344,0
283410059.0,2008-12-06,2009,0.6507,0
283410066.0,2008-12-06,2009,0.8209,0
283410002.0,2008-12-06,2009,0.9583,0
283412084.0,2008-12-06,2009,0.8525,0
283412655.0,2008-12-06,2009,0.3761,0
283410295.0,2008-12-06,2009,0.8065,0
283412182.0,2008-12-06,2009,0.3364,0
283410277.0,2008-12-06,2009,0.9189,0
283412132.0,2008-12-06,2009,0.5882,0
283410097.0,2008-12-06,2009,0.9806,0
283410195.0,2008-12-06,2009,0.7635,1
283412166.0,2008-12-06,2009,0.7727,0
283412413.0,2008-12-06,2009,0.2805,0
283420127.0,2008-12-07,2009,0.9221,0
283420097.0,2008-12-07,2009,0.9623,0
283422352.0,2008-12-07,2009,0.2977,0
283422217.0,2008-12-07,2009,0.6581,0
283480194.0,2008-12-13,2009,0.746,0
283480183.0,2008-12-13,2009,0.9393,0
283480048.0,2008-12-13,2009,0.5325,0
